PING 1.1.1.1 (1.1.1.1) 56(84) bytes of data.
64 bytes from 1.1.1.1: icmp_seq=161 ttl=52 time=27.5 ms
64 bytes from 1.1.1.1: icmp_seq=162 ttl=52 time=49.6 ms
64 bytes from 1.1.1.1: icmp_seq=163 ttl=52 time=40.7 ms
64 bytes from 1.1.1.1: icmp_seq=164 ttl=52 time=329 ms
64 bytes from 1.1.1.1: icmp_seq=165 ttl=52 time=45.9 ms
64 bytes from 1.1.1.1: icmp_seq=166 ttl=52 time=61.9 ms
64 bytes from 1.1.1.1: icmp_seq=167 ttl=52 time=44.9 ms
64 bytes from 1.1.1.1: icmp_seq=168 ttl=52 time=64.6 ms
64 bytes from 1.1.1.1: icmp_seq=169 ttl=52 time=59.9 ms
64 bytes from 1.1.1.1: icmp_seq=170 ttl=52 time=191 ms
64 bytes from 1.1.1.1: icmp_seq=171 ttl=52 time=32.4 ms
64 bytes from 1.1.1.1: icmp_seq=172 ttl=52 time=38.9 ms
64 bytes from 1.1.1.1: icmp_seq=173 ttl=52 time=39.7 ms
64 bytes from 1.1.1.1: icmp_seq=174 ttl=52 time=77.1 ms
64 bytes from 1.1.1.1: icmp_seq=175 ttl=52 time=40.2 ms

--- 1.1.1.1 ping statistics ---
175 packets transmitted, 175 received, 0% packet loss, time 174253ms
rtt min/avg/max/mdev = 25.093/63.463/573.209/65.570 ms
